county,office,district,candidate,party,votes,precinct
,Governor,32,Billy Toien,LIB,8,32-835
,Governor,32,Bill Walker,,2,32-835
,Governor,32,Write-ins,,1,32-835
,State House,32,Katelnikoff-Lester,,15,32-835
,State House,32,Louise Stutes,REP,28,32-835
,State House,32,Dennis Harris,DEM,17,32-835
,State House,32,Write-ins,,0,32-835
,U.S. House,32,Alyse Galvin,DEM,21,32-840
,U.S. House,32,Don Young,REP,30,32-840
,U.S. House,32,Write-ins,,0,32-840
,Governor,32,Mark Begich,DEM,35,32-840
,Governor,32,Mike Dunleavy,REP,17,32-840
,Governor,32,Billy Toien,LIB,2,32-840
,Governor,32,Bill Walker,,0,32-840
,Governor,32,Write-ins,,0,32-840
,State House,32,Katelnikoff-Lester,,24,32-840
,State House,32,Louise Stutes,REP,15,32-840
,State House,32,Dennis Harris,DEM,15,32-840
,State House,32,Write-ins,,0,32-840
,U.S. House,32,Alyse Galvin,DEM,13,32-845
,U.S. House,32,Don Young,REP,44,32-845
,U.S. House,32,Write-ins,,0,32-845
,Governor,32,Mark Begich,DEM,24,32-845
,Governor,32,Mike Dunleavy,REP,29,32-845
,Governor,32,Billy Toien,LIB,2,32-845
,Governor,32,Bill Walker,,1,32-845
,Governor,32,Write-ins,,0,32-845
,State House,32,Katelnikoff-Lester,,13,32-845
,State House,32,Louise Stutes,REP,35,32-845
,State House,32,Dennis Harris,DEM,8,32-845
,State House,32,Write-ins,,0,32-845
,U.S. House,32,Alyse Galvin,DEM,85,32-847
,U.S. House,32,Don Young,REP,72,32-847
,U.S. House,32,Write-ins,,1,32-847
,Governor,32,Mark Begich,DEM,89,32-847
,Governor,32,Mike Dunleavy,REP,65,32-847
,Governor,32,Billy Toien,LIB,3,32-847
,Governor,32,Bill Walker,,2,32-847
,Governor,32,Write-ins,,0,32-847
,State House,32,Katelnikoff-Lester,,8,32-847
,State House,32,Louise Stutes,REP,93,32-847
,State House,32,Dennis Harris,DEM,50,32-847
,State House,32,Write-ins,,1,32-847
,U.S. House,32,Alyse Galvin,DEM,10,32-850
,U.S. House,32,Don Young,REP,12,32-850
,U.S. House,32,Write-ins,,1,32-850
,Governor,32,Mark Begich,DEM,12,32-850
,Governor,32,Mike Dunleavy,REP,6,32-850
,Governor,32,Billy Toien,LIB,1,32-850
,Governor,32,Bill Walker,,2,32-850
,Governor,32,Write-ins,,2,32-850
,State House,32,Katelnikoff-Lester,,13,32-850
,State House,32,Louise Stutes,REP,4,32-850
,State House,32,Dennis Harris,DEM,5,32-850
,State House,32,Write-ins,,1,32-850
,U.S. House,32,Alyse Galvin,DEM,23,32-855
,U.S. House,32,Don Young,REP,20,32-855
,U.S. House,32,Write-ins,,0,32-855
,Governor,32,Mark Begich,DEM,37,32-855
,Governor,32,Mike Dunleavy,REP,4,32-855
,Governor,32,Billy Toien,LIB,2,32-855
,Governor,32,Bill Walker,,0,32-855
,Governor,32,Write-ins,,0,32-855
,State House,32,Katelnikoff-Lester,,5,32-855
,State House,32,Louise Stutes,REP,9,32-855
,State House,32,Dennis Harris,DEM,28,32-855
,State House,32,Write-ins,,0,32-855
,U.S. House,32,Alyse Galvin,DEM,133,32-860
,U.S. House,32,Don Young,REP,78,32-860
,U.S. House,32,Write-ins,,2,32-860
,Governor,32,Mark Begich,DEM,121,32-860
,Governor,32,Mike Dunleavy,REP,76,32-860
,Governor,32,Billy Toien,LIB,6,32-860
,Governor,32,Bill Walker,,15,32-860
,Governor,32,Write-ins,,1,32-860
,State House,32,Katelnikoff-Lester,,24,32-860
,State House,32,Louise Stutes,REP,117,32-860
,State House,32,Dennis Harris,DEM,71,32-860
,State House,32,Write-ins,,1,32-860
,U.S. House,32,Alyse Galvin,DEM,931,Absentee
,U.S. House,32,Don Young,REP,840,Absentee
,U.S. House,32,Write-ins,,6,Absentee
,Governor,32,Mark Begich,DEM,1021,Absentee
,Governor,32,Mike Dunleavy,REP,663,Absentee
,Governor,32,Billy Toien,LIB,34,Absentee
,Governor,32,Bill Walker,,63,Absentee
,Governor,32,Write-ins,,6,Absentee
,State House,32,Katelnikoff-Lester,,181,Absentee
,State House,32,Louise Stutes,REP,916,Absentee
,State House,32,Dennis Harris,DEM,574,Absentee
,State House,32,Write-ins,,13,Absentee
,U.S. House,32,Alyse Galvin,DEM,106,Question
,U.S. House,32,Don Young,REP,107,Question
,U.S. House,32,Write-ins,,2,Question
,Governor,32,Mark Begich,DEM,97,Question
,Governor,32,Mike Dunleavy,REP,105,Question
,Governor,32,Billy Toien,LIB,6,Question
,Governor,32,Bill Walker,,6,Question
,Governor,32,Write-ins,,0,Question
,State House,32,Katelnikoff-Lester,,27,Question
,State House,32,Louise Stutes,REP,56,Question
,State House,32,Dennis Harris,DEM,61,Question
,State House,32,Write-ins,,2,Question
,U.S. House,32,Alyse Galvin,DEM,41,Early Voting
,U.S. House,32,Don Young,REP,27,Early Voting
,U.S. House,32,Write-ins,,0,Early Voting
,Governor,32,Mark Begich,DEM,42,Early Voting
,Governor,32,Mike Dunleavy,REP,18,Early Voting
,Governor,32,Billy Toien,LIB,3,Early Voting
,Governor,32,Bill Walker,,3,Early Voting
,Governor,32,Write-ins,,2,Early Voting
,State House,32,Katelnikoff-Lester,,16,Early Voting
,State House,32,Louise Stutes,REP,20,Early Voting
,State House,32,Dennis Harris,DEM,29,Early Voting
,State House,32,Write-ins,,1,Early Voting
